model_name,brand,cpu_name,cpu_cores,cpu_threads,cpu_base_clock_ghz,cpu_boost_clock_ghz,cpu_single_core_score,cpu_multi_core_score,cpu_tdp_watts,gpu_name,gpu_vram_gb,gpu_is_dedicated,gpu_supports_cuda,gpu_benchmark_score,ram_gb,storage_gb,storage_type,display_size_inch,display_resolution,refresh_rate_hz,battery_whr,battery_life_hours,weight_kg,price_inr,release_year
Zenbook 13S,Dell,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 3050,6,True,True,12500,64,2048,SSD,16.0,1920x1200,120,40.5,5.3,1.67,186200.0,2023
Ultra 5,Dell,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,Intel Iris Xe Graphics,0,False,False,3200,16,512,Hybrid,15.6,1366x768,60,69.8,6.0,1.66,119200.0,2024
Galaxy Book 15X,MSI,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 4050,6,True,True,15800,32,512,SSD,17.3,2880x1800,90,69.5,9.6,1.67,225800.0,2023
Gram 16S,Microsoft,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,AMD Radeon Graphics (Integrated),0,False,False,3400,32,2048,SSD,15.6,1920x1080,60,98.4,8.6,1.7,158400.0,2023
Galaxy Book 9X,Samsung,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 4050,6,True,True,15800,32,256,HDD,17.3,1920x1200,165,93.0,7.6,2.66,183200.0,2024
Ultra 7,Dell,Apple M2,8,8,3.5,3.5,10500,21900,20,NVIDIA GeForce RTX 4070,8,True,True,24800,16,2048,SSD,17.3,2560x1440,60,88.5,10.5,2.55,261600.0,2025
Air 5X,Samsung,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 4060,8,True,True,19500,16,1024,SSD,16.0,2880x1800,165,76.1,7.7,3.1,231300.0,2025
Nitro 16X,LG,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 4070,8,True,True,24800,32,512,SSD,16.0,2880x1800,60,72.2,6.5,3.14,265000.0,2025
Nitro 10,Asus,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,NVIDIA GeForce RTX 4080,12,True,True,29500,16,512,SSD,15.6,3840x2160,60,80.7,8.1,2.36,278400.0,2024
Nitro 16X,Microsoft,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 4080,12,True,True,29500,32,1024,SSD,14.0,1920x1200,60,57.0,5.1,2.09,295800.0,2024
Pavilion 2,Asus,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 3050,6,True,True,12500,16,512,SSD,17.3,3840x2160,120,54.1,7.4,3.21,195800.0,2023
Inspiron 10S,MSI,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 4070,8,True,True,24800,8,512,SSD,17.3,1920x1080,90,78.5,6.4,2.35,257900.0,2025
Swift 6,Acer,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Intel Iris Xe Graphics,0,False,False,3200,8,2048,SSD,14.0,2880x1800,90,82.7,6.6,2.93,143700.0,2023
Surface Laptop 16X,MSI,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,AMD Radeon Graphics (Integrated),0,False,False,3400,16,256,SSD,15.6,2880x1800,90,46.3,3.6,1.67,127300.0,2025
Predator 7X,LG,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 3050,6,True,True,12500,16,256,SSD,14.0,3840x2160,90,78.2,6.9,1.43,178700.0,2023
Pavilion 1S,Microsoft,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 4060,8,True,True,19500,32,2048,SSD,15.6,1366x768,90,79.5,9.8,1.68,259800.0,2023
Ultra 15S,MSI,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 4070,8,True,True,24800,16,512,SSD,17.3,3840x2160,120,40.7,3.7,2.79,255500.0,2022
Zenbook 14 Plus,Lenovo,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,NVIDIA GeForce RTX 4080,12,True,True,29500,16,256,SSD,15.6,2880x1800,60,52.9,6.8,1.71,270600.0,2025
Air 7X,LG,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 2050,4,True,True,9800,16,2048,SSD,13.3,2880x1800,90,71.2,7.8,3.23,190200.0,2022
Gram 14 Plus,Lenovo,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 4080,12,True,True,29500,64,256,SSD,17.3,2560x1440,60,93.0,9.6,1.51,309900.0,2023
Zenbook 3,Microsoft,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 4080,12,True,True,29500,64,512,SSD,16.0,1920x1200,165,40.2,4.8,1.55,261100.0,2024
Katana 13 Plus,HP,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,Intel Iris Xe Graphics,0,False,False,3200,16,1024,SSD,14.0,3840x2160,90,78.1,8.2,3.09,132000.0,2024
Pro 10 Plus,HP,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 4080,12,True,True,29500,16,512,SSD,14.0,2880x1800,90,71.2,6.3,1.85,286200.0,2022
Air 14,LG,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,NVIDIA GeForce RTX 4080,12,True,True,29500,32,512,SSD,16.0,1920x1200,60,56.3,4.5,2.85,268600.0,2022
Legion 15X,Asus,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,Intel UHD Graphics,0,False,False,2100,8,2048,SSD,13.3,2560x1440,90,79.6,6.5,1.59,115000.0,2022
Pavilion 10X,LG,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,Intel Iris Xe Graphics,0,False,False,3200,16,2048,SSD,15.6,1920x1080,90,74.0,7.1,2.65,133100.0,2023
Air 12 Plus,LG,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 4060,8,True,True,19500,16,512,SSD,17.3,2880x1800,144,93.8,8.7,2.25,222600.0,2024
Ideapad 15,LG,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 4060,8,True,True,19500,32,512,SSD,16.0,1920x1080,165,71.7,8.5,1.85,240200.0,2025
Surface Laptop 7,LG,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,NVIDIA GeForce RTX 4060,8,True,True,19500,16,1024,SSD,15.6,1920x1080,60,78.2,6.2,3.09,207900.0,2022
Inspiron 7,Acer,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,Intel Iris Xe Graphics,0,False,False,3200,8,512,Hybrid,17.3,1920x1080,60,52.3,4.2,1.71,109500.0,2022
Gram 16 Plus,Samsung,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 2050,4,True,True,9800,32,512,Hybrid,15.6,1920x1200,90,67.5,6.2,2.02,160800.0,2023
Swift 10X,HP,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 4050,6,True,True,15800,16,512,SSD,16.0,1366x768,120,91.0,7.9,1.43,200200.0,2024
Galaxy Book 15X,Asus,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 2050,4,True,True,9800,32,2048,SSD,14.0,2560x1440,120,78.6,7.1,1.91,190200.0,2024
Pro 14X,Apple,Apple M2,8,8,3.5,3.5,10500,21900,20,Apple M2 GPU (Integrated),0,False,False,11000,16,2048,SSD,13.3,2880x1800,60,89.5,12.0,2.74,192500.0,2022
Galaxy Book 1,Asus,Intel Core i5-1240P,12,16,1.7,4.4,8200,17800,28,AMD Radeon Graphics (Integrated),0,False,False,3400,8,512,Hybrid,16.0,1920x1200,60,76.5,7.0,2.33,117100.0,2024
Ultra 4X,LG,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 4060,8,True,True,19500,8,256,Hybrid,15.6,2880x1800,60,41.0,3.5,2.75,224500.0,2023
Pavilion 10,Asus,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 4080,12,True,True,29500,16,512,SSD,16.0,1366x768,60,96.6,9.9,1.89,268100.0,2025
ThinkPad 4,Dell,Intel Core i5-1240P,12,16,1.7,4.4,8200,17800,28,NVIDIA GeForce RTX 4060,8,True,True,19500,32,1024,Hybrid,16.0,1366x768,144,40.6,5.1,2.4,214600.0,2024
Inspiron 5 Plus,Asus,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 4070,8,True,True,24800,16,256,SSD,15.6,2880x1800,120,78.8,9.8,3.1,237900.0,2022
Slim 12,HP,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,AMD Radeon Graphics (Integrated),0,False,False,3400,16,2048,SSD,16.0,3840x2160,90,59.6,5.2,1.38,143700.0,2025
Galaxy Book 8S,HP,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,NVIDIA GeForce RTX 2050,4,True,True,9800,8,512,Hybrid,17.3,2880x1800,90,97.2,10.9,2.67,158400.0,2024
Nitro 5 Plus,LG,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,NVIDIA GeForce RTX 4060,8,True,True,19500,16,2048,SSD,16.0,1366x768,165,76.5,6.5,2.83,212400.0,2022
Swift 15 Plus,Lenovo,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,NVIDIA GeForce RTX 4050,6,True,True,15800,32,256,SSD,13.3,1920x1200,90,61.2,7.1,1.67,190000.0,2023
Legion 3X,HP,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,Intel UHD Graphics,0,False,False,2100,32,2048,SSD,13.3,2880x1800,90,86.3,7.1,1.12,100200.0,2024
Predator 16,Microsoft,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,AMD Radeon Graphics (Integrated),0,False,False,3400,32,512,SSD,15.6,1920x1200,60,69.1,9.4,1.97,151500.0,2024
Katana 11 Plus,Apple,Apple M2,8,8,3.5,3.5,10500,21900,20,Apple M2 GPU (Integrated),0,False,False,11000,16,1024,SSD,14.0,1920x1200,60,96.0,10.7,2.34,182600.0,2023
Galaxy Book 8S,Microsoft,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,NVIDIA GeForce RTX 3050,6,True,True,12500,32,2048,SSD,14.0,2560x1440,60,50.5,5.4,2.04,190900.0,2025
Katana 7 Plus,MSI,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,NVIDIA GeForce RTX 4060,8,True,True,19500,32,256,Hybrid,14.0,2880x1800,120,50.6,4.4,1.45,227100.0,2025
Galaxy Book 13 Plus,Acer,Intel Core i5-1240P,12,16,1.7,4.4,8200,17800,28,NVIDIA GeForce RTX 4060,8,True,True,19500,64,512,SSD,14.0,1920x1200,144,49.1,5.1,2.15,230400.0,2024
Legion 11 Plus,LG,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 4050,6,True,True,15800,8,256,SSD,15.6,1920x1080,144,76.1,7.3,2.69,162700.0,2025
Gram 5S,HP,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,Intel UHD Graphics,0,False,False,2100,16,512,Hybrid,17.3,2880x1800,90,80.6,9.7,1.85,91900.0,2024
Galaxy Book 12 Plus,Dell,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,Intel UHD Graphics,0,False,False,2100,16,1024,SSD,13.3,3840x2160,60,60.6,6.7,2.67,118200.0,2024
Pavilion 6X,HP,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 4070,8,True,True,24800,32,256,SSD,13.3,3840x2160,60,41.3,4.6,1.62,247000.0,2023
Katana 14 Plus,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,16,1024,SSD,14.0,3840x2160,90,65.5,9.1,2.33,196400.0,2023
Galaxy Book 11 Plus,Dell,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 2050,4,True,True,9800,16,256,Hybrid,13.3,2880x1800,60,61.6,7.5,1.63,158800.0,2025
Ideapad 11,Microsoft,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,Intel UHD Graphics,0,False,False,2100,32,512,HDD,17.3,1920x1080,90,81.7,9.3,2.33,121400.0,2022
Surface Laptop 6X,Asus,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,Intel UHD Graphics,0,False,False,2100,16,512,SSD,17.3,2560x1440,60,75.2,7.2,1.95,133100.0,2024
Surface Laptop 16 Plus,Samsung,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,AMD Radeon Graphics (Integrated),0,False,False,3400,16,512,HDD,17.3,1366x768,60,96.2,9.7,1.49,139800.0,2024
Predator 6 Plus,Samsung,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,NVIDIA GeForce RTX 4070,8,True,True,24800,64,512,SSD,17.3,1366x768,165,84.9,9.7,1.95,270500.0,2024
Katana 7 Plus,Microsoft,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 4080,12,True,True,29500,8,2048,SSD,13.3,1920x1200,165,72.0,5.6,2.48,276400.0,2022
Inspiron 12 Plus,HP,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 2050,4,True,True,9800,16,256,HDD,15.6,1920x1200,165,88.2,9.2,3.39,180900.0,2023
Predator 10S,Lenovo,Apple M2,8,8,3.5,3.5,10500,21900,20,AMD Radeon Graphics (Integrated),0,False,False,3400,16,512,SSD,17.3,1920x1200,90,56.6,5.5,1.75,143800.0,2025
Pavilion 13 Plus,LG,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Intel UHD Graphics,0,False,False,2100,16,1024,SSD,15.6,3840x2160,60,81.4,10.4,1.39,147500.0,2023
Zenbook 15 Plus,Lenovo,Apple M2,8,8,3.5,3.5,10500,21900,20,NVIDIA GeForce RTX 3050,6,True,True,12500,32,1024,HDD,13.3,3840x2160,165,91.9,12.2,2.43,193400.0,2023
Predator 11X,Apple,Apple M2,8,8,3.5,3.5,10500,21900,20,Apple M2 GPU (Integrated),0,False,False,11000,64,512,SSD,17.3,2560x1440,60,97.1,8.1,2.09,213300.0,2023
Inspiron 5S,Microsoft,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 4050,6,True,True,15800,8,256,SSD,16.0,1366x768,60,94.8,11.9,2.31,191300.0,2024
Pavilion 14,Lenovo,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,Intel UHD Graphics,0,False,False,2100,32,512,SSD,15.6,3840x2160,90,49.8,5.3,1.71,132600.0,2025
Swift 5 Plus,HP,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 2050,4,True,True,9800,64,256,SSD,17.3,1920x1080,120,80.1,11.4,2.79,169600.0,2022
Ideapad 3,HP,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 4060,8,True,True,19500,8,256,SSD,15.6,1920x1200,60,48.1,4.1,2.91,215100.0,2023
Ideapad 4 Plus,Microsoft,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,AMD Radeon Graphics (Integrated),0,False,False,3400,64,512,SSD,14.0,2560x1440,90,80.5,6.6,1.27,171600.0,2022
Pro 10X,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,16,512,SSD,14.0,2880x1800,90,75.4,7.1,2.66,191100.0,2025
Gram 1S,LG,Apple M2,8,8,3.5,3.5,10500,21900,20,NVIDIA GeForce RTX 4080,12,True,True,29500,16,1024,SSD,13.3,1920x1080,90,62.8,7.4,2.68,281900.0,2022
Air 13S,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,32,2048,SSD,14.0,2560x1440,60,41.0,5.5,1.62,206300.0,2022
Ideapad 11 Plus,LG,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,NVIDIA GeForce RTX 4060,8,True,True,19500,32,256,Hybrid,17.3,2880x1800,60,56.4,6.4,2.42,212400.0,2023
Predator 6 (2),Microsoft,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Intel UHD Graphics,0,False,False,2100,16,1024,SSD,13.3,1920x1080,60,94.6,12.3,2.32,142600.0,2022
Ultra 1S,Dell,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,Intel Iris Xe Graphics,0,False,False,3200,16,1024,SSD,17.3,2880x1800,90,55.3,6.0,2.6,132100.0,2023
Zenbook 6S,MSI,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,NVIDIA GeForce RTX 4080,12,True,True,29500,8,512,Hybrid,13.3,2560x1440,90,70.1,9.6,3.12,267800.0,2023
Vivobook 2 Plus,HP,Apple M2,8,8,3.5,3.5,10500,21900,20,Intel UHD Graphics,0,False,False,2100,16,2048,SSD,13.3,1366x768,60,54.4,5.5,1.87,130800.0,2023
Gram 2 Plus,Asus,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 2050,4,True,True,9800,32,512,SSD,13.3,2880x1800,60,47.0,4.3,1.51,180800.0,2023
Pavilion 15S,HP,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 3050,6,True,True,12500,16,512,SSD,17.3,2560x1440,60,61.8,7.1,2.97,192800.0,2025
ThinkPad 1 Plus,Microsoft,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 2050,4,True,True,9800,16,512,SSD,16.0,1366x768,60,72.0,6.7,2.79,169500.0,2022
Swift 12 Plus,Acer,Intel Core i5-1240P,12,16,1.7,4.4,8200,17800,28,NVIDIA GeForce RTX 2050,4,True,True,9800,16,1024,HDD,13.3,1920x1080,144,56.5,7.8,1.86,153000.0,2024
ThinkPad 13S,HP,Apple M2,8,8,3.5,3.5,10500,21900,20,Intel UHD Graphics,0,False,False,2100,16,1024,SSD,17.3,2880x1800,60,65.7,5.1,1.57,127100.0,2023
Surface Laptop 12X,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,8,512,SSD,17.3,1366x768,60,46.2,4.8,1.73,196300.0,2022
Ideapad 3X,Samsung,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,NVIDIA GeForce RTX 4070,8,True,True,24800,16,256,SSD,14.0,3840x2160,60,88.8,7.9,1.48,245200.0,2023
Ultra 1,Apple,Apple M2,8,8,3.5,3.5,10500,21900,20,Apple M2 GPU (Integrated),0,False,False,11000,16,512,SSD,16.0,2560x1440,90,84.1,9.9,2.02,178100.0,2023
Katana 5,Asus,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,NVIDIA GeForce RTX 2050,4,True,True,9800,32,512,SSD,17.3,2880x1800,60,94.1,12.6,3.39,172200.0,2023
Inspiron 6S,Apple,Apple M2,8,8,3.5,3.5,10500,21900,20,Apple M2 GPU (Integrated),0,False,False,11000,8,512,Hybrid,16.0,3840x2160,60,69.3,7.5,1.95,175200.0,2023
Air 3S,Acer,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,AMD Radeon Graphics (Integrated),0,False,False,3400,8,2048,SSD,17.3,2880x1800,60,78.2,7.8,2.87,145600.0,2024
Zenbook 16 Plus,MSI,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,NVIDIA GeForce RTX 4060,8,True,True,19500,16,2048,SSD,14.0,3840x2160,165,72.1,10.1,2.16,215900.0,2025
Gram 12X,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,16,512,SSD,15.6,2880x1800,60,41.7,3.5,1.66,196800.0,2024
Vivobook 8S,Lenovo,Intel Core i5-1240P,12,16,1.7,4.4,8200,17800,28,NVIDIA GeForce RTX 2050,4,True,True,9800,16,512,Hybrid,13.3,1920x1080,120,89.9,7.6,2.11,147500.0,2023
Pavilion 1 Plus,Apple,Apple M2,8,8,3.5,3.5,10500,21900,20,Apple M2 GPU (Integrated),0,False,False,11000,16,2048,SSD,14.0,2560x1440,90,58.2,5.9,1.28,185900.0,2023
Gram 12,Dell,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,NVIDIA GeForce RTX 2050,4,True,True,9800,16,512,SSD,15.6,1366x768,60,48.7,4.3,1.68,180400.0,2022
ThinkPad 6S,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,32,512,SSD,14.0,1920x1080,90,96.0,8.2,3.02,203600.0,2025
Air 6S,Asus,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,AMD Radeon Graphics (Integrated),0,False,False,3400,32,512,SSD,14.0,1920x1080,90,40.1,3.6,2.25,160000.0,2024
ThinkPad 15,Microsoft,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,Intel UHD Graphics,0,False,False,2100,64,512,SSD,13.3,1920x1080,60,98.0,12.2,2.87,138400.0,2022
Swift 16 Plus,Acer,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 2050,4,True,True,9800,8,512,SSD,13.3,3840x2160,60,42.8,4.4,2.24,147800.0,2023
Nitro 4,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,64,2048,SSD,14.0,1920x1080,60,44.3,3.7,1.69,227400.0,2023
Vivobook 14X,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,8,2048,SSD,13.3,1920x1200,90,98.1,7.9,2.51,196700.0,2024
Air 13 Plus,Dell,Intel Core i5-1240P,12,16,1.7,4.4,8200,17800,28,NVIDIA GeForce RTX 4050,6,True,True,15800,16,512,HDD,17.3,3840x2160,144,71.9,6.6,1.99,193100.0,2022
Predator 3 Plus,Lenovo,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 4050,6,True,True,15800,8,1024,SSD,15.6,3840x2160,144,75.4,9.2,1.45,161200.0,2023
Katana 2S,HP,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,NVIDIA GeForce RTX 4060,8,True,True,19500,64,1024,SSD,13.3,3840x2160,120,62.9,6.8,2.16,249100.0,2023
Swift 8,Samsung,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 3050,6,True,True,12500,16,512,Hybrid,13.3,1920x1080,165,81.1,10.7,2.74,176100.0,2024
Gram 5,MSI,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 4060,8,True,True,19500,64,2048,SSD,14.0,2560x1440,60,44.7,3.6,2.83,269200.0,2024
Ideapad 9S,Samsung,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,AMD Radeon Graphics (Integrated),0,False,False,3400,16,512,SSD,13.3,2560x1440,60,98.3,10.2,3.09,129200.0,2025
Gram 14,HP,Intel Core i5-1240P,12,16,1.7,4.4,8200,17800,28,NVIDIA GeForce RTX 4060,8,True,True,19500,32,2048,SSD,15.6,1920x1200,120,67.0,5.5,2.97,225200.0,2024
Galaxy Book 16,MSI,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,AMD Radeon Graphics (Integrated),0,False,False,3400,8,256,Hybrid,13.3,1920x1200,90,91.9,7.5,1.63,113600.0,2025
Pavilion 2 Plus,Lenovo,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,NVIDIA GeForce RTX 4060,8,True,True,19500,16,2048,SSD,17.3,3840x2160,144,63.7,6.8,3.16,232600.0,2025
Katana 11S,Acer,Intel Core i9-13900H,14,20,2.6,5.4,11500,23800,45,Intel Iris Xe Graphics,0,False,False,3200,32,512,SSD,15.6,2560x1440,90,80.4,6.3,1.56,146600.0,2023
Vivobook 3S,MSI,Apple M2,8,8,3.5,3.5,10500,21900,20,Intel UHD Graphics,0,False,False,2100,16,1024,SSD,16.0,3840x2160,60,84.8,6.9,2.74,133300.0,2024
Nitro 12 Plus,LG,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,AMD Radeon Graphics (Integrated),0,False,False,3400,8,512,SSD,14.0,1366x768,60,42.0,5.8,1.82,113300.0,2023
Zenbook 6S,LG,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,Intel UHD Graphics,0,False,False,2100,8,512,SSD,16.0,2880x1800,60,50.5,4.1,2.27,103400.0,2023
Gram 1,HP,Intel Core i7-13700H,14,20,2.4,5.0,10800,22300,45,Intel Iris Xe Graphics,0,False,False,3200,32,256,SSD,17.3,1920x1080,60,78.2,7.1,1.64,144200.0,2024
Zenbook 15S,Samsung,Intel Core i5-13500H,12,16,2.6,4.7,9500,19500,45,AMD Radeon Graphics (Integrated),0,False,False,3400,8,512,SSD,17.3,1920x1200,90,97.1,8.9,1.95,118700.0,2024
Predator 10,Asus,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 3050,6,True,True,12500,32,2048,SSD,13.3,1366x768,120,99.0,7.7,3.08,194600.0,2024
Pavilion 2 Plus,Samsung,Intel Core i5-1240P,12,16,1.7,4.4,8200,17800,28,NVIDIA GeForce RTX 4050,6,True,True,15800,16,512,SSD,15.6,3840x2160,144,96.2,8.8,1.78,186000.0,2024
ThinkPad 8 Plus,Apple,Apple M2,8,8,3.5,3.5,10500,21900,20,Apple M2 GPU (Integrated),0,False,False,11000,64,512,SSD,16.0,2560x1440,60,83.5,8.0,3.09,207200.0,2023
ThinkPad 3X,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,16,512,SSD,16.0,1920x1080,90,55.3,4.7,2.63,194200.0,2023
Slim 16X,Apple,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,Apple M2 GPU (Integrated),0,False,False,11000,32,512,SSD,17.3,1920x1200,60,90.2,9.2,2.83,209300.0,2024
Ideapad 11X,LG,Intel Core i5-1240P,12,16,1.7,4.4,8200,17800,28,NVIDIA GeForce RTX 4060,8,True,True,19500,16,1024,SSD,14.0,1920x1080,60,60.2,4.7,3.19,202600.0,2024
Galaxy Book 3X,HP,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 4050,6,True,True,15800,16,512,SSD,13.3,2560x1440,60,52.4,4.5,2.55,189500.0,2023
Gram 7,Microsoft,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,NVIDIA GeForce RTX 4060,8,True,True,19500,32,1024,HDD,16.0,1366x768,60,71.5,6.3,3.3,222800.0,2023
Predator 10 Plus,Dell,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 2050,4,True,True,9800,16,512,SSD,14.0,1366x768,90,69.7,7.9,1.53,175900.0,2022
